sample,method,threshold,sig,p_value
DO218560,QP,0.1,COSMIC_3,1
DO218560,QP,0.2,COSMIC_3,1
DO218573,QP,0,COSMIC_3,1.37E-161
DO218573,QP,0.01,COSMIC_3,4.78E-161
DO218573,QP,0.05,COSMIC_3,3.74E-17
DO218573,QP,0.1,COSMIC_3,1
DO218573,QP,0.2,COSMIC_3,1
DO218583,QP,0,COSMIC_3,1.21E-128
DO218583,QP,0.01,COSMIC_3,9.29E-86
DO218583,QP,0.05,COSMIC_3,1
DO218583,QP,0.1,COSMIC_3,1
DO218583,QP,0.2,COSMIC_3,1
DO218605,QP,0,COSMIC_3,1.67E-165
DO218605,QP,0.01,COSMIC_3,1.67E-165
DO218605,QP,0.05,COSMIC_3,1.67E-165
DO218605,QP,0.1,COSMIC_3,3.49E-163
DO218605,QP,0.2,COSMIC_3,1
DO218611,QP,0,COSMIC_3,3.52E-119
DO218611,QP,0.01,COSMIC_3,1.56E-59
DO218611,QP,0.05,COSMIC_3,1
DO218611,QP,0.1,COSMIC_3,1
DO218611,QP,0.2,COSMIC_3,1
DO218621,QP,0,COSMIC_3,1.15E-150
DO218621,QP,0.01,COSMIC_3,1.15E-141
DO218621,QP,0.05,COSMIC_3,0.004499743
DO218621,QP,0.1,COSMIC_3,1
DO218621,QP,0.2,COSMIC_3,1
DO218651,QP,0,COSMIC_3,2.79E-145
DO218651,QP,0.01,COSMIC_3,3.10E-132
DO218651,QP,0.05,COSMIC_3,0.193575736
DO218651,QP,0.1,COSMIC_3,1
DO218651,QP,0.2,COSMIC_3,1
DO218656,QP,0,COSMIC_3,1.67E-165
DO218656,QP,0.01,COSMIC_3,1.67E-165
DO218656,QP,0.05,COSMIC_3,1.67E-165
DO218656,QP,0.1,COSMIC_3,1.67E-165
DO218656,QP,0.2,COSMIC_3,1.67E-165
DO218669,QP,0,COSMIC_3,1.67E-165
DO218669,QP,0.01,COSMIC_3,1.67E-165
DO218669,QP,0.05,COSMIC_3,1.67E-165
DO218669,QP,0.1,COSMIC_3,1.67E-165
DO218669,QP,0.2,COSMIC_3,1.15E-76
DO218684,QP,0,COSMIC_3,1.67E-165
DO218684,QP,0.01,COSMIC_3,1.67E-165
DO218684,QP,0.05,COSMIC_3,1.67E-165
DO218684,QP,0.1,COSMIC_3,1.67E-165
DO218684,QP,0.2,COSMIC_3,1.67E-165
DO218698,QP,0,COSMIC_3,3.93E-152
DO218698,QP,0.01,COSMIC_3,8.98E-153
DO218698,QP,0.05,COSMIC_3,3.95E-54
DO218698,QP,0.1,COSMIC_3,1
DO218698,QP,0.2,COSMIC_3,1
DO218709,QP,0,COSMIC_3,1.67E-165
DO218709,QP,0.01,COSMIC_3,1.67E-165
DO218709,QP,0.05,COSMIC_3,1.67E-165
DO218709,QP,0.1,COSMIC_3,1.67E-165
DO218709,QP,0.2,COSMIC_3,1.04E-84
DO218719,QP,0,COSMIC_3,7.69E-104
DO218719,QP,0.01,COSMIC_3,9.28E-32
DO218719,QP,0.05,COSMIC_3,1
DO218719,QP,0.1,COSMIC_3,1
DO218719,QP,0.2,COSMIC_3,1
DO218736,QP,0,COSMIC_3,7.12E-164
DO218736,QP,0.01,COSMIC_3,2.64E-165
DO218736,QP,0.05,COSMIC_3,5.93E-148
DO218736,QP,0.1,COSMIC_3,0.000819262
DO218736,QP,0.2,COSMIC_3,1
DO218742,QP,0,COSMIC_3,1.67E-165
DO218742,QP,0.01,COSMIC_3,1.67E-165
DO218742,QP,0.05,COSMIC_3,6.33E-165
DO218742,QP,0.1,COSMIC_3,2.95E-92
DO218742,QP,0.2,COSMIC_3,1
DO218770,QP,0,COSMIC_3,1.42E-76
DO218770,QP,0.01,COSMIC_3,0.485403579
DO218770,QP,0.05,COSMIC_3,1
DO218770,QP,0.1,COSMIC_3,1
DO218770,QP,0.2,COSMIC_3,1
DO218796,QP,0,COSMIC_3,2.37E-79
DO218796,QP,0.01,COSMIC_3,1
DO218796,QP,0.05,COSMIC_3,1
DO218796,QP,0.1,COSMIC_3,1
DO218796,QP,0.2,COSMIC_3,1
DO218827,QP,0,COSMIC_3,6.17E-07
DO218827,QP,0.01,COSMIC_3,1
DO218827,QP,0.05,COSMIC_3,1
DO218827,QP,0.1,COSMIC_3,1
DO218827,QP,0.2,COSMIC_3,1
DO218828,QP,0,COSMIC_3,3.53E-165
DO218828,QP,0.01,COSMIC_3,2.09E-165
DO218828,QP,0.05,COSMIC_3,4.65E-104
DO218828,QP,0.1,COSMIC_3,1
DO218828,QP,0.2,COSMIC_3,1
DO218831,QP,0,COSMIC_3,2.15E-155
DO218831,QP,0.01,COSMIC_3,6.99E-154
DO218831,QP,0.05,COSMIC_3,7.48E-20
DO218831,QP,0.1,COSMIC_3,1
DO218831,QP,0.2,COSMIC_3,1
DO220820,QP,0,COSMIC_3,1.32E-122
DO220820,QP,0.01,COSMIC_3,4.15E-76
DO220820,QP,0.05,COSMIC_3,1
DO220820,QP,0.1,COSMIC_3,1
DO220820,QP,0.2,COSMIC_3,1
DO220821,QP,0,COSMIC_3,1.03E-22
DO220821,QP,0.01,COSMIC_3,1
DO220821,QP,0.05,COSMIC_3,1
DO220821,QP,0.1,COSMIC_3,1
DO220821,QP,0.2,COSMIC_3,1
DO220822,QP,0,COSMIC_3,2.10E-51
DO220822,QP,0.01,COSMIC_3,1
DO220822,QP,0.05,COSMIC_3,1
DO220822,QP,0.1,COSMIC_3,1
DO220822,QP,0.2,COSMIC_3,1
DO220823,QP,0,COSMIC_3,1.67E-165
DO220823,QP,0.01,COSMIC_3,1.67E-165
DO220823,QP,0.05,COSMIC_3,1.67E-165
DO220823,QP,0.1,COSMIC_3,1.67E-165
DO220823,QP,0.2,COSMIC_3,1
DO220824,QP,0,COSMIC_3,2.19E-52
DO220824,QP,0.01,COSMIC_3,1
DO220824,QP,0.05,COSMIC_3,1
DO220824,QP,0.1,COSMIC_3,1
DO220824,QP,0.2,COSMIC_3,1
DO220825,QP,0,COSMIC_3,3.04E-162
DO220825,QP,0.01,COSMIC_3,2.20E-164
DO220825,QP,0.05,COSMIC_3,6.38E-133
DO220825,QP,0.1,COSMIC_3,0.000110863
DO220825,QP,0.2,COSMIC_3,1
DO220826,QP,0,COSMIC_3,1.67E-165
DO220826,QP,0.01,COSMIC_3,1.67E-165
DO220826,QP,0.05,COSMIC_3,1.67E-165
DO220826,QP,0.1,COSMIC_3,1.67E-165
DO220826,QP,0.2,COSMIC_3,1.67E-165
DO220827,QP,0,COSMIC_3,1.67E-165
DO220827,QP,0.01,COSMIC_3,1.67E-165
DO220827,QP,0.05,COSMIC_3,3.97E-163
DO220827,QP,0.1,COSMIC_3,2.20E-15
DO220827,QP,0.2,COSMIC_3,1
DO220828,QP,0,COSMIC_3,1.67E-165
DO220828,QP,0.01,COSMIC_3,1.67E-165
DO220828,QP,0.05,COSMIC_3,4.51E-165
DO220828,QP,0.1,COSMIC_3,1.22E-05
DO220828,QP,0.2,COSMIC_3,1
DO224547,QP,0,COSMIC_3,1.67E-165
DO224547,QP,0.01,COSMIC_3,1.67E-165
DO224547,QP,0.05,COSMIC_3,1.67E-165
DO224547,QP,0.1,COSMIC_3,1.67E-165
DO224547,QP,0.2,COSMIC_3,1.67E-165
DO224553,QP,0,COSMIC_3,1.67E-165
DO224553,QP,0.01,COSMIC_3,1.67E-165
DO224553,QP,0.05,COSMIC_3,1.67E-165
DO224553,QP,0.1,COSMIC_3,1.67E-165
DO224553,QP,0.2,COSMIC_3,1.67E-165
DO224557,QP,0,COSMIC_3,1.67E-165
DO224557,QP,0.01,COSMIC_3,1.67E-165
DO224557,QP,0.05,COSMIC_3,1.67E-165
DO224557,QP,0.1,COSMIC_3,1.67E-165
DO224557,QP,0.2,COSMIC_3,1.67E-165
DO224560,QP,0,COSMIC_3,5.72E-152
DO224560,QP,0.01,COSMIC_3,3.74E-152
DO224560,QP,0.05,COSMIC_3,1.18E-28
DO224560,QP,0.1,COSMIC_3,1
DO224560,QP,0.2,COSMIC_3,1
DO224565,QP,0,COSMIC_3,1.67E-165
DO224565,QP,0.01,COSMIC_3,1.67E-165
DO224565,QP,0.05,COSMIC_3,1.67E-165
DO224565,QP,0.1,COSMIC_3,1.67E-165
DO224565,QP,0.2,COSMIC_3,1.67E-165
DO224569,QP,0,COSMIC_3,1.67E-165
DO224569,QP,0.01,COSMIC_3,1.67E-165
DO224569,QP,0.05,COSMIC_3,1.67E-165
DO224569,QP,0.1,COSMIC_3,1.67E-165
DO224569,QP,0.2,COSMIC_3,1.67E-165
DO224573,QP,0,COSMIC_3,1.67E-165
DO224573,QP,0.01,COSMIC_3,1.67E-165
DO224573,QP,0.05,COSMIC_3,1.67E-165
DO224573,QP,0.1,COSMIC_3,1.67E-165
DO224573,QP,0.2,COSMIC_3,1.67E-165
DO224577,QP,0,COSMIC_3,5.52E-56
DO224577,QP,0.01,COSMIC_3,1
DO224577,QP,0.05,COSMIC_3,1
DO224577,QP,0.1,COSMIC_3,1
DO224577,QP,0.2,COSMIC_3,1
DO224582,QP,0,COSMIC_3,8.46E-106
DO224582,QP,0.01,COSMIC_3,7.31E-30
DO224582,QP,0.05,COSMIC_3,1
DO224582,QP,0.1,COSMIC_3,1
DO224582,QP,0.2,COSMIC_3,1
DO224585,QP,0,COSMIC_3,1.67E-165
DO224585,QP,0.01,COSMIC_3,1.67E-165
DO224585,QP,0.05,COSMIC_3,1.67E-165
DO224585,QP,0.1,COSMIC_3,1.83E-163
DO224585,QP,0.2,COSMIC_3,0.999758827
DO224588,QP,0,COSMIC_3,5.14E-165
DO224588,QP,0.01,COSMIC_3,1.83E-165
DO224588,QP,0.05,COSMIC_3,6.28E-159
DO224588,QP,0.1,COSMIC_3,3.08E-53
DO224588,QP,0.2,COSMIC_3,1
DO224590,QP,0,COSMIC_3,8.93E-161
DO224590,QP,0.01,COSMIC_3,8.41E-161
DO224590,QP,0.05,COSMIC_3,0.00432307
DO224590,QP,0.1,COSMIC_3,1
DO224590,QP,0.2,COSMIC_3,1
DO224593,QP,0,COSMIC_3,1.67E-165
DO224593,QP,0.01,COSMIC_3,1.67E-165
DO224593,QP,0.05,COSMIC_3,1.67E-165
DO224593,QP,0.1,COSMIC_3,1.67E-165
DO224593,QP,0.2,COSMIC_3,1.67E-165
DO224598,QP,0,COSMIC_3,1.67E-165
DO224598,QP,0.01,COSMIC_3,1.67E-165
DO224598,QP,0.05,COSMIC_3,1.67E-165
DO224598,QP,0.1,COSMIC_3,1.67E-165
DO224598,QP,0.2,COSMIC_3,1.35E-08
DO224600,QP,0,COSMIC_3,1.67E-165
DO224600,QP,0.01,COSMIC_3,1.67E-165
DO224600,QP,0.05,COSMIC_3,1.67E-165
DO224600,QP,0.1,COSMIC_3,1.67E-165
DO224600,QP,0.2,COSMIC_3,1.67E-165
DO224602,QP,0,COSMIC_3,1.67E-165
DO224602,QP,0.01,COSMIC_3,1.67E-165
DO224602,QP,0.05,COSMIC_3,1.67E-165
DO224602,QP,0.1,COSMIC_3,1.67E-165
DO224602,QP,0.2,COSMIC_3,1.67E-165
DO224606,QP,0,COSMIC_3,1.67E-165
DO224606,QP,0.01,COSMIC_3,1.67E-165
DO224606,QP,0.05,COSMIC_3,1.67E-165
DO224606,QP,0.1,COSMIC_3,1.67E-165
DO224606,QP,0.2,COSMIC_3,1.67E-165
DO224609,QP,0,COSMIC_3,2.84E-153
DO224609,QP,0.01,COSMIC_3,5.73E-157
DO224609,QP,0.05,COSMIC_3,3.70E-80
DO224609,QP,0.1,COSMIC_3,1
DO224609,QP,0.2,COSMIC_3,1
DO224614,QP,0,COSMIC_3,2.53E-143
DO224614,QP,0.01,COSMIC_3,1.97E-113
DO224614,QP,0.05,COSMIC_3,1
DO224614,QP,0.1,COSMIC_3,1
DO224614,QP,0.2,COSMIC_3,1
DO224618,QP,0,COSMIC_3,2.42E-165
DO224618,QP,0.01,COSMIC_3,2.09E-165
DO224618,QP,0.05,COSMIC_3,6.21E-100
DO224618,QP,0.1,COSMIC_3,1
DO224618,QP,0.2,COSMIC_3,1
DO224625,QP,0,COSMIC_3,3.16E-109
DO224625,QP,0.01,COSMIC_3,9.98E-46
DO224625,QP,0.05,COSMIC_3,1
DO224625,QP,0.1,COSMIC_3,1
DO224625,QP,0.2,COSMIC_3,1
DO224634,QP,0,COSMIC_3,1.80E-159
DO224634,QP,0.01,COSMIC_3,1.06E-159
DO224634,QP,0.05,COSMIC_3,1.17E-26
DO224634,QP,0.1,COSMIC_3,1
DO224634,QP,0.2,COSMIC_3,1
DO224640,QP,0,COSMIC_3,1.12E-45
DO224640,QP,0.01,COSMIC_3,1
DO224640,QP,0.05,COSMIC_3,1
DO224640,QP,0.1,COSMIC_3,1
DO224640,QP,0.2,COSMIC_3,1
DO224643,QP,0,COSMIC_3,6.54E-06
DO224643,QP,0.01,COSMIC_3,1
